accelx,accely,accelz,gravityx,gravityy,gravityz,linaccelx,linaccely,linaccelz,gyrx,gyry,gyrz,magx,magy,magz,orientazimuth,orientpitch,orientroll,pressure,sound,timestamp,datestamp
-2.5387,-0.7664,11.0195,6.97,-1.17,6.8,-0.24,-0.03,-0.32,-0.1278,-0.017,-0.5955,-87.87,50.13,67.63,189.47,-59.15,58.27,1036.56,55.861,2,2016-03-14 09:57:54:494
-2.1914,1.4897,9.2256,-2.01,4.4,8.53,-0.18,-2.72,0.93,-0.0032,-0.0895,-0.1555,-85.69,53.06,69.19,82.99,-26.64,13.45,1036.6,55.861,502,2016-03-14 09:57:54:994
-2.1196,2.5363,9.1633,-2.07,4.34,8.55,-0.06,-1.81,0.62,-0.0053,0.0053,-0.0075,-86.06,53.75,69.19,82.63,-26.86,13.69,1036.6,55.861,1003,2016-03-14 09:57:55:495
-2.1938,2.4477,9.2927,-2.12,3.99,8.7,-0.12,-1.51,0.58,-0.0011,-0.0149,-0.0053,-85.69,54.5,69.19,77.69,-24.02,13.69,1036.57,54.976,1503,2016-03-14 09:57:55:995
-1.1424,2.1388,9.4268,-2.08,3.63,8.87,0.31,-1.27,0.61,0.0863,0.0256,-0.1609,-85.69,54.5,68.44,74.28,-21.79,13.27,1036.57,55.581,2002,2016-03-14 09:57:56:494
-2.2992,2.122,10.0711,-2.15,3.13,9.04,0.28,-0.97,-0.9,-0.0501,0.0639,-0.0202,-84.62,57.38,68.0,68.32,-18.62,13.38,1036.57,62.091,2502,2016-03-14 09:57:56:994
-3.3698,2.7926,9.1849,-2.12,3.32,8.98,-1.52,-0.64,0.06,-0.13,-0.1214,2.0741,-88.25,52.31,69.19,74.51,-19.79,13.28,1036.56,69.396,3002,2016-03-14 09:57:57:494
-1.2454,3.1926,9.4076,-1.05,4.0,8.89,-0.25,-0.67,-1.13,-0.0309,0.0224,-0.0149,-91.5,46.88,69.63,81.96,-23.31,6.25,1036.57,63.908,3502,2016-03-14 09:57:57:994
-2.007,2.4094,11.3452,-1.05,3.24,9.19,-0.78,-0.88,1.95,-0.0405,-0.3185,0.3505,-91.87,49.06,70.81,80.37,-22.35,7.79,1036.57,68.135,4003,2016-03-14 09:57:58:495
-0.115,3.1902,5.9947,-0.31,3.68,9.08,-0.36,-0.7,1.76,-0.5635,-0.2695,-0.016,-96.62,47.94,68.81,79.54,-21.74,1.95,1036.56,70.522,4502,2016-03-14 09:57:58:994
-0.4982,2.8118,8.8352,-0.12,3.13,9.29,0.07,-0.47,0.16,-0.0117,0.1246,-0.0522,-96.94,49.06,68.0,75.8,-18.62,0.74,1036.56,62.235,5002,2016-03-14 09:57:59:494
-0.3808,2.7279,9.422,-0.45,2.93,9.35,0.1,-0.2,-0.14,0.0202,0.0426,-0.0128,-95.12,49.06,68.0,75.11,-17.69,2.82,1036.58,60.981,5502,2016-03-14 09:57:59:994
-0.5437,2.5842,9.5825,-0.54,2.86,9.37,0.02,-0.18,0.04,-0.0213,-0.016,-0.0075,-94.75,48.31,67.63,74.9,-16.95,3.3,1036.58,60.679,6003,2016-03-14 09:58:00:495
-0.4095,2.6417,9.3765,-0.48,2.77,9.4,-0.25,-0.05,0.05,0.0021,-0.0629,-0.1236,-95.12,49.06,68.38,73.87,-16.41,2.99,1036.6,55.856,6502,2016-03-14 09:58:00:994
-0.5413,2.6034,9.5825,-0.56,2.74,9.4,0.0,-0.16,-0.03,-0.0032,0.0075,-0.0128,-95.5,48.69,68.0,73.83,-16.35,3.23,1036.57,54.188,7002,2016-03-14 09:58:01:494
-0.661,2.5818,9.3717,-0.65,2.68,9.41,-0.04,-0.06,0.05,-0.0053,-0.0032,-0.0107,-94.06,48.31,67.19,73.62,-15.8,4.07,1036.58,56.265,7502,2016-03-14 09:58:01:994
-0.6658,2.7088,9.5705,-0.65,2.68,9.41,-0.05,0.01,0.08,0.0,-0.0021,-0.0096,-94.06,49.44,69.19,73.39,-15.86,3.95,1036.6,54.32,8003,2016-03-14 09:58:02:495
-0.7209,2.6633,9.3645,-0.68,2.73,9.39,-0.08,-0.04,-0.02,0.0053,-0.0266,-0.0064,-94.44,49.06,68.0,73.52,-16.17,4.14,1036.58,53.561,8503,2016-03-14 09:58:02:995
-0.661,2.6465,9.5322,-0.62,2.67,9.42,-0.02,-0.04,-0.02,-0.0298,0.0032,-0.0213,-93.69,49.44,66.81,73.03,-15.79,3.77,1036.57,57.084,9002,2016-03-14 09:58:03:494
-0.788,2.5507,9.5442,-0.64,2.63,9.43,-0.12,-0.03,0.12,-0.0043,-0.0043,-0.0117,-93.69,50.13,66.38,72.12,-15.55,3.82,1036.54,53.518,9502,2016-03-14 09:58:03:994
-0.7449,2.6034,9.6902,-0.71,2.57,9.44,-0.02,-0.06,-0.21,0.0202,-0.0352,-0.0085,-94.06,49.44,68.0,72.77,-15.32,4.31,1036.53,57.886,10003,2016-03-14 09:58:04:495
-0.3114,2.7998,9.3023,-0.37,2.83,9.38,-0.02,-0.08,-0.12,0.0831,-0.0714,-0.0032,-95.5,48.31,67.19,74.52,-16.78,2.26,1036.47,58.411,10503,2016-03-14 09:58:04:995
-0.5365,2.5148,9.3789,-0.55,2.63,9.43,0.02,-0.04,0.02,-0.0352,0.0192,-0.0181,-95.5,50.13,67.19,72.46,-15.56,3.34,1036.43,55.246,11002,2016-03-14 09:58:05:494
-0.4958,2.5339,9.446,-0.69,2.58,9.44,0.09,0.13,0.2,-0.0043,-0.0341,-0.0128,-94.75,50.13,67.19,72.2,-15.25,4.18,1036.4,53.432,11502,2016-03-14 09:58:05:994
-0.7185,2.6058,9.6088,-0.68,2.55,9.44,0.04,0.03,0.2,0.0096,-0.0021,-0.016,-95.12,50.88,68.0,71.64,-15.08,4.12,1036.39,54.357,12002,2016-03-14 09:58:06:494
-0.6802,2.7279,9.6543,-0.68,2.63,9.42,-0.05,0.06,0.08,0.0043,-0.032,-0.0064,-94.75,49.44,68.38,72.45,-15.38,4.18,1036.4,59.325,12502,2016-03-14 09:58:06:994
-0.6946,2.3375,9.2807,-0.68,2.59,9.43,-0.04,-0.22,-0.17,-0.0181,-0.0224,-0.0107,-95.12,50.13,68.38,72.56,-15.5,4.19,1036.4,51.489,13002,2016-03-14 09:58:07:494
-0.5341,2.522,9.1586,-0.65,2.61,9.43,0.02,0.01,0.09,-0.0415,-0.0085,-0.0128,-95.12,50.13,69.19,71.8,-15.49,4.0,1036.4,55.897,13503,2016-03-14 09:58:07:995
-0.6299,2.51,9.4028,-0.66,2.56,9.44,-0.04,-0.07,0.26,-0.0064,-0.0373,-0.0107,-95.12,50.13,67.56,71.93,-15.25,3.94,1036.38,58.367,14002,2016-03-14 09:58:08:494
-0.7736,2.4453,9.4555,-0.63,2.54,9.45,-0.04,-0.04,0.12,0.0064,0.0032,-0.0138,-94.75,50.13,67.94,72.14,-15.01,3.81,1036.39,54.044,14502,2016-03-14 09:58:08:994
-0.7496,2.5507,9.616,-0.65,2.52,9.46,-0.06,0.04,0.16,0.0,-0.0043,-0.0138,-94.44,50.88,66.75,71.14,-14.88,3.93,1036.39,55.396,15002,2016-03-14 09:58:09:494
-0.6898,2.613,9.6447,-0.64,2.51,9.46,0.07,-0.04,-0.04,0.0043,-0.0021,-0.0138,-94.44,49.75,67.19,71.65,-14.83,3.87,1036.41,49.66,15504,2016-03-14 09:58:09:996
