timestamp,lat,lon,course,direction,kts,mph,altft,climbft,datasource
Mon 10:09:54 AM,55.8911,-4.3976,46°,Northeast,159,183,1000, , FlightAware ADS-B  (GLA / EGPF) 
Mon 10:10:03 AM,55.8969,-4.3867,233°,Southwest,174,200,1300,1600 , FlightAware UK 
Mon 10:10:09 AM,55.8988,-4.3829,46°,Northeast,168,193,1400,1355 , FlightAware ADS-B  (GLA / EGPF) 
Mon 10:10:34 AM,55.9134,-4.3554,46°,Northeast,194,223,2000,1350 , FlightAware ADS-B  (GLA / EGPF) 
Mon 10:10:49 AM,55.9231,-4.3373,46°,Northeast,212,244,2300,1200 , FlightAware ADS-B  (GLA / EGPF) 
Mon 10:11:04 AM,55.9346,-4.3167,44°,Northeast,239,275,2600,1400 , FlightAware ADS-B  (GLA / EGPF) 
Mon 10:11:19 AM,55.9433,-4.2914,71°,East,250,288,3000,2400 , FlightAware ADS-B  (GLA / EGPF) 
Mon 10:11:34 AM,55.9442,-4.2606,100°,East,248,285,3800,3067 , FlightAware ADS-B  (GLA / EGPF) 
Mon 10:12:04 AM,55.9224,-4.2157,157°,South,252,290,5300,2936 , FlightAware ADS-B  (GLA / EGPF) 
Mon 10:12:21 AM,55.9028,-4.2130,190°,South,260,299,6100,2739 , FlightAware ADS-B  (EDI / EGPH) 
Mon 10:12:50 AM,55.8712,-4.2310,200°,South,272,313,7400,2727 , FlightAware ADS-B  (EDI / EGPH) 
Mon 10:13:05 AM,55.8523,-4.2429,200°,South,276,318,8100,2800 , FlightAware ADS-B  (GLA / EGPF) 
Mon 10:13:20 AM,55.8325,-4.2557,200°,South,278,320,8800,2600 , FlightAware ADS-B  (EDI / EGPH) 
Mon 10:13:35 AM,55.8152,-4.2669,201°,Southwest,283,326,9400,2571 , FlightAware ADS-B  (GLA / EGPF) 
Mon 10:13:55 AM,55.7887,-4.2754,178°,South,282,325,10300,1950 , FlightAware ADS-B  (HCY / EGOV) 
Mon 10:14:15 AM,55.7622,-4.2715,174°,South,299,344,10700,1158 , FlightAware ADS-B  (GLA / EGPF) 
Mon 10:14:52 AM,55.7071,-4.2620,174°,South,339,390,11400,1412 , FlightAware ADS-B  (HCY / EGOV) 
Mon 10:15:23 AM,55.6603,-4.2548,175°,South,354,407,12300,2066 , FlightAware ADS-B  (HCY / EGOV) 
Mon 10:15:53 AM,55.6089,-4.2472,175°,South,362,417,13500,2400 , FlightAware ADS-B  (PIK / EGPK) 
Mon 10:16:23 AM,55.5582,-4.2401,175°,South,366,421,14700,2200 , FlightAware ADS-B  (PIK / EGPK) 
Mon 10:16:53 AM,55.5134,-4.2332,174°,South,373,429,15700,1900 , FlightAware ADS-B  (BFS / EGAA) 
Mon 10:17:23 AM,55.4610,-4.2242,174°,South,382,440,16600,1933 , FlightAware ADS-B  (BFS / EGAA) 
Mon 10:18:23 AM,55.3555,-4.2075,175°,South,395,455,18600,2031 , FlightAware ADS-B  (BFS / EGAA) 
Mon 10:18:28 AM,55.3368,-4.2043,174°,South,394,453,18800,2118 , FlightAware UK 
Mon 10:18:40 AM,55.3184,-4.1954,163°,South,391,450,19200,1636 , FlightAware ADS-B  (PIK / EGPK) 
Mon 10:19:23 AM,55.2583,-4.1570,159°,South,395,455,20300,1670 , FlightAware ADS-B  (BFS / EGAA) 
Mon 10:20:17 AM,55.1519,-4.0864,157°,South,406,467,21900,1714 , FlightAware ADS-B  (BFS / EGAA) 
Mon 10:20:33 AM,55.1255,-4.0620,151°,Southeast,404,465,22300,1565 , FlightAware ADS-B  (MAN / EGCC) 
Mon 10:21:03 AM,55.0795,-4.0061,145°,Southeast,403,464,23100,1500 , FlightAware ADS-B  (MAN / EGCC) 
Mon 10:21:33 AM,55.0361,-3.9535,145°,Southeast,408,470,23800,1500 , FlightAware ADS-B  (PIK / EGPK) 
Mon 10:22:03 AM,54.9882,-3.8956,145°,Southeast,411,473,24600,1400 , FlightAware ADS-B  (BWF / EGNL) 
Mon 10:22:33 AM,54.9473,-3.8464,145°,Southeast,412,474,25200,1279 , FlightAware ADS-B  (PIK / EGPK) 
Mon 10:23:04 AM,54.8966,-3.7856,145°,Southeast,416,479,25900,1304 , FlightAware ADS-B  (WAT / EIWF) 
Mon 10:23:19 AM,54.8839,-3.7704,146°,Southeast,419,482,26200,1091 , FlightAware ADS-B  (GLA / EGPF) 
Mon 10:23:37 AM,54.8491,-3.7211,130°,Southeast,414,476,26500,1269 , FlightAware ADS-B  (LPL / EGGP) 
Mon 10:24:11 AM,54.8065,-3.6193,124°,Southeast,412,474,27300,1219 , FlightAware ADS-B  (NCL / EGNT) 
Mon 10:24:41 AM,54.7732,-3.5358,125°,Southeast,417,480,27800,1100 , FlightAware ADS-B  (DND / EGPN) 
Mon 10:25:11 AM,54.7408,-3.4547,124°,Southeast,417,480,28400,1300 , FlightAware ADS-B  (BLK / EGNH) 
Mon 10:25:41 AM,54.7079,-3.3737,125°,Southeast,415,478,29100,1400 , FlightAware ADS-B  (NCL / EGNT) 
Mon 10:26:11 AM,54.6760,-3.2960,126°,Southeast,413,475,29800,1320 , FlightAware ADS-B  (EGOW) 
Mon 10:26:31 AM,54.6567,-3.2567,138°,Southeast,419,482,30200,1286 , FlightAware ADS-B  (MME / EGNV) 
Mon 10:27:07 AM,54.5900,-3.1863,160°,South,432,497,31000,818 , FlightAware ADS-B  (LBA / EGNM) 
Mon 10:27:37 AM,54.5303,-3.1512,161°,South,428,493,31100,867 , FlightAware ADS-B  (EGNO) 
Mon 10:28:37 AM,54.4258,-3.0900,161°,South,420,483,32300,950 , FlightAware ADS-B  (GLO / EGBJ) 
Mon 10:29:37 AM,54.3092,-3.0222,161°,South,410,472,33000,328 , FlightAware ADS-B  (CVT / EGBE) 
Mon 10:30:45 AM,54.1872,-2.9515,161°,South,412,474,33000, , FlightAware ADS-B  (HUY / EGNJ) 
Mon 10:31:46 AM,54.0731,-2.8860,161°,South,410,472,33000, , FlightAware UK 
Mon 10:31:47 AM,54.0759,-2.8878,161°,South,411,473,33000, , FlightAware ADS-B  (EGCB) 
Mon 10:32:51 AM,53.9704,-2.8275,161°,South,408,470,33000, , FlightAware ADS-B  (EGBD) 
Mon 10:33:56 AM,53.8459,-2.7568,161°,South,406,467,33000, , FlightAware ADS-B  (EGTC) 
